,customer_id,gender,age,monthly_income
0,29290,Male,28,10813
1,27703,Male,27,9237
2,28712,Male,53,11242
3,28020,Male,23,23327
4,27182,Male,33,8536
5,27318,Male,25,13984
6,33788,Male,23,23788
7,34106,Male,19,19980
8,59799,Male,33,19271
9,57982,Male,57,5068
10,58774,Male,20,23602
11,58627,Male,28,27338
12,59007,Male,63,6683
13,58215,Male,25,6862
14,59372,Male,53,4912
15,57950,Male,58,16997
16,59533,Male,29,17520
17,58346,Male,27,21650
18,58925,Male,38,26550
19,58551,Male,25,21734
20,59804,Male,31,4550
21,57200,Male,23,3268
22,57931,Male,40,5666
23,3077,Male,22,16759
24,4734,Male,33,30608
25,4004,Male,18,3896
26,5528,Male,34,14974
27,5785,Male,21,11230
28,3714,Male,33,4521
29,3746,Male,24,2371
30,4289,Male,19,28719
31,5777,Male,24,28850
32,3571,Male,44,15166
33,4779,Male,27,6416
34,5734,Male,23,22475
35,3051,Male,30,34757
36,5915,Male,26,24115
37,5628,Male,33,15231
38,3125,Male,25,9562
39,4813,Male,46,24809
40,4682,Male,62,6075
41,3787,Male,27,33382
42,5029,Male,53,3015
43,3600,Male,20,4277
44,4606,Male,27,8633
45,3546,Male,47,5340
46,5707,Male,20,15397
47,4457,Male,22,18960
48,3330,Male,46,5216
49,5094,Male,43,27243
50,5284,Male,53,5084
51,5741,Male,44,21700
52,25949,Male,32,31491
53,24086,Male,60,19410
54,25155,Male,27,10997
55,25247,Male,26,24178
56,24530,Male,47,10312
57,24144,Male,52,21243
58,30718,Male,52,20255
59,30769,Male,51,33152
60,31634,Male,47,2880
61,30725,Male,29,4437
62,8693,Male,21,15024
63,8354,Male,48,12229
64,8953,Male,38,10973
65,7409,Male,18,7182
66,8448,Male,62,7002
67,7598,Male,33,10791
68,7475,Male,52,21930
69,8197,Male,27,18995
70,8159,Male,40,12634
71,8543,Male,39,20564
72,8702,Male,20,3795
73,8661,Male,46,31986
74,8624,Male,45,24169
75,6318,Male,61,28764
76,8420,Male,30,3193
77,7309,Male,23,15247
78,8091,Male,23,21938
79,6940,Male,40,2067
80,8927,Male,19,17197
81,7002,Male,54,24555
82,8555,Male,27,8465
83,6214,Male,53,9447
84,6068,Male,33,8788
85,8125,Male,28,17969
86,7723,Male,58,2948
87,8773,Male,37,25735
88,8488,Male,52,4690
89,7277,Male,23,20528
90,7342,Male,30,31080
91,8820,Male,20,10416
92,8069,Male,22,13610
93,7317,Male,19,16209
94,6343,Male,42,17207
95,6941,Male,54,17067
96,7974,Male,41,21855
97,8294,Male,28,14024
98,7355,Male,31,6166
99,7451,Male,19,4391
100,7924,Male,26,23137
101,6458,Male,20,14682
102,6017,Male,35,22130
103,7615,Male,24,17363
104,6236,Male,61,12821
105,7432,Male,36,31294
106,7199,Male,31,20802
107,7388,Male,37,10894
108,8745,Male,26,13927
109,6437,Male,32,19793
110,7928,Male,36,14286
111,6465,Male,46,3249
112,6249,Male,31,12237
113,7836,Male,64,8890
114,7539,Male,40,24169
115,7940,Male,57,13452
116,8600,Male,28,7168
117,8846,Male,33,10251
118,8751,Male,34,17745
119,8586,Male,37,3513
120,7927,Male,62,14300
121,11224,Male,18,2913
122,9584,Male,31,22812
123,11646,Male,32,17133
124,55370,Male,27,12845
125,54452,Male,25,23628
126,2416,Male,28,21399
127,2060,Male,18,8149
128,1451,Male,35,23989
129,1609,Male,30,23036
130,2927,Male,33,14520
131,2626,Male,18,30401
132,502,Male,28,15285
133,2571,Male,33,4620
134,769,Male,63,29758
135,373,Male,27,5070
136,533,Male,52,15974
137,1217,Male,51,3122
138,2039,Male,32,19358
139,590,Male,62,18608
140,2828,Male,28,15198
141,98,Male,35,12557
142,591,Male,39,19842
143,2146,Male,31,16697
144,16700,Male,32,3161
145,15732,Male,38,15171
146,15400,Male,48,2363
147,16786,Male,55,20325
148,17470,Male,30,22310
149,15487,Male,64,4615
150,22557,Male,38,8808
151,22469,Male,37,4378
152,50246,Male,28,3616
153,48443,Male,64,3605
154,47364,Male,35,11059
155,46934,Male,46,18329
156,45834,Male,23,19821
157,20330,Male,53,28591
158,20687,Male,39,8926
159,20206,Male,18,24295
160,19851,Male,25,9085
161,18893,Male,39,7144
162,18179,Male,40,9175
163,18556,Male,24,29066
164,20552,Male,19,19174
165,19699,Male,38,15794
166,19462,Male,60,18407
167,19038,Male,39,11046
168,18849,Male,20,6780
169,18418,Male,39,13112
170,20760,Male,36,24307
171,20474,Male,21,11296
172,18656,Male,33,15077
173,18865,Male,35,32151
174,18817,Male,40,5038
175,19185,Male,19,30500
176,18488,Male,37,22441
177,19961,Male,29,24779
178,18498,Male,19,17313
179,20869,Male,58,8692
